chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
java/org/jfree/chart/plot/ValueMarker.java,org.jfree.chart.plot.ValueMarker,97.0,59.0,0.6082474,7.0,0.086892486
java/org/jfree/chart/ChartElement.java,org.jfree.chart.ChartElement,12.0,9.0,0.75,0.0,Infinity
java/org/jfree/chart/entity/XYItemEntity.java,org.jfree.chart.entity.XYItemEntity,120.0,69.0,0.575,10.0,0.057499997
java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,org.jfree.chart.labels.IntervalXYToolTipGenerator,188.0,86.0,0.4574468,16.0,0.028590426
java/org/jfree/chart/encoders/EncoderUtil.java,org.jfree.chart.encoders.EncoderUtil,119.0,85.0,0.71428573,8.0,0.08928572
java/org/jfree/chart/internal/PaintUtils.java,org.jfree.chart.internal.PaintUtils,135.0,50.0,0.37037036,15.0,0.024691356
java/org/jfree/chart/labels/XYToolTipGenerator.java,org.jfree.chart.labels.XYToolTipGenerator,16.0,13.0,0.8125,0.0,Infinity
java/org/jfree/chart/axis/LogTick.java,org.jfree.chart.axis.LogTick,31.0,21.0,0.67741936,1.0,0.67741936
java/org/jfree/chart/api/TableOrder.java,org.jfree.chart.api.TableOrder,13.0,9.0,0.6923077,0.0,Infinity
java/org/jfree/chart/plot/flow/FlowPlot.java,org.jfree.chart.plot.flow.FlowPlot,693.0,279.0,0.4025974,73.0,0.005515033
java/org/jfree/data/xy/XisSymbolic.java,org.jfree.data.xy.XisSymbolic,30.0,25.0,0.8333333,0.0,Infinity
java/org/jfree/chart/axis/DateTickUnitType.java,org.jfree.chart.axis.DateTickUnitType,53.0,37.0,0.6981132,1.0,0.6981132
java/org/jfree/chart/labels/StandardCrosshairLabelGenerator.java,org.jfree.chart.labels.StandardCrosshairLabelGenerator,96.0,49.0,0.5104167,9.0,0.056712966
java/org/jfree/data/time/Week.java,org.jfree.data.time.Week,541.0,272.0,0.5027726,34.0,0.01478743
java/org/jfree/chart/plot/dial/ArcDialFrame.java,org.jfree.chart.plot.dial.ArcDialFrame,401.0,210.0,0.52369076,34.0,0.015402669
java/org/jfree/data/io/CSV.java,org.jfree.data.io.CSV,136.0,60.0,0.44117647,12.0,0.036764707
java/org/jfree/chart/urls/StandardCategoryURLGenerator.java,org.jfree.chart.urls.StandardCategoryURLGenerator,134.0,66.0,0.49253732,9.0,0.05472637
java/org/jfree/chart/util/DirectionalGradientPaintTransformer.java,org.jfree.chart.util.DirectionalGradientPaintTransformer,79.0,42.0,0.5316456,2.0,0.2658228
java/org/jfree/data/gantt/SlidingGanttCategoryDataset.java,org.jfree.data.gantt.SlidingGanttCategoryDataset,544.0,302.0,0.55514705,60.0,0.00925245
java/org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java,org.jfree.chart.labels.IntervalCategoryToolTipGenerator,98.0,46.0,0.46938777,8.0,0.05867347
java/org/jfree/chart/renderer/category/StatisticalBarRenderer.java,org.jfree.chart.renderer.category.StatisticalBarRenderer,404.0,152.0,0.37623763,39.0,0.009647119
java/org/jfree/chart/plot/pie/PiePlot.java,org.jfree.chart.plot.pie.PiePlot,2789.0,1413.0,0.5066332,239.0,0.0021198043
java/org/jfree/chart/imagemap/OverLIBToolTipTagFragmentGenerator.java,org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,23.0,14.0,0.6086956,1.0,0.6086956
